# Simulation 13 (Up to date)
# 713 data points written for 4 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
73.05,1597.8,-64.26,0.058107
73.55,1565.7,-64.23,0.059931
74.05,1533.6,-64.2,0.061131
74.55,1501.5,-64.167,0.065199
75.05,1469.4,-64.136,0.062741
75.55,1437.4,-64.103,0.064642
76.05,1405.3,-64.068,0.070401
76.55,1373.3,-64.041,0.054702
77.05,1341.3,-64.007,0.068406
77.55,1309.3,-63.979,0.054575
78.05,1277.3,-63.95,0.057908
78.55,1245.3,-63.92,0.060668
79.05,1213.4,-63.889,0.061491
79.55,1181.5,-63.855,0.067634
80.05,1149.5,-63.827,0.056033
80.55,1117.6,-63.798,0.058413
81.05,1085.7,-63.766,0.064675
81.55,1053.9,-63.736,0.058787
82.05,1022,-63.707,0.057926
82.55,990.15,-63.678,0.05904
83.05,958.32,-63.648,0.059524
83.55,926.51,-63.618,0.059646
84.05,894.71,-63.581,0.075053
84.55,862.92,-63.555,0.051826
85.05,831.15,-63.526,0.057884
85.55,799.4,-63.498,0.056363
86.05,767.65,-63.469,0.057781
86.55,735.93,-63.439,0.059571
87.05,704.21,-63.41,0.058769
87.55,672.52,-63.38,0.059077
88.05,640.83,-63.351,0.057974
88.55,609.17,-63.321,0.060138
89.05,577.51,-63.293,0.057142
89.55,545.87,-63.26,0.064784
90.05,514.25,-63.233,0.054148
90.55,482.64,-63.205,0.056068
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=90.551 seconds
91.05,451.05,-63.177,0.056933
91.051,450.95,-61.536,1041
91.053,450.85,-59.896,986.02
91.055,450.74,-58.256,932.47
91.057,450.64,-56.615,880.37
91.059,450.53,-54.975,829.71
91.061,450.41,-53.335,780.5
91.063,450.29,-51.695,732.74
91.065,450.17,-50.054,686.42
91.068,450.05,-48.414,641.55
91.071,449.92,-46.774,598.13
